Afghanistan,37172386,Asia,,
Albania,2866376,Europe,,
Algeria,42228429,Africa,,
Andorra,77006,Europe,,
Angola,30809762,Africa,,
Antigua and Barbuda,96286,North America,,
Argentina,44494502,South America,,
Armenia,2951776,Europe,,
Australia,24992369,Oceania,,
Austria,8847037,Europe,,
Azerbaijan,9942334,Asia,,
Bahamas,385640,North America,,
Bahrain,1569439,Asia,,
Bangladesh,161356039,Asia,,
Barbados,286641,North America,,
Belarus,9485386,Europe,,
Belgium,11422068,Europe,Includes possible cases and fatalities,
Benin,11485048,Africa,,
Bhutan,754394,Asia,,
Bolivia,11353142,South America,,
Bosnia and Herzegovina,3323929,Europe,,
Brazil,209469333,South America,Low coverage outside big population centers,
Brunei,428962,Asia,,
Bulgaria,7024216,Europe,,
Burkina Faso,19751535,Africa,,
Cabo Verde,543767,Africa,,
Cambodia,16249798,Asia,,
Cameroon,25216237,Africa,,
Canada,37058856,North America,,
Central African Republic,4666377,Africa,,
Chad,15477751,Africa,,
Chile,18729160,South America,,
China,1392730000,Asia,,
Hong Kong,7451000,Asia,,
Macau,631636,China,,
Colombia,49648685,South America,,
Congo (Brazzaville),5244363,Africa,,
Congo (Kinshasa),84068091,Africa,,
Costa Rica,4999441,North America,,
Cote d'Ivoire,25069229,Africa,,Ivory Coast
Croatia,4089400,Europe,,
Diamond Princess,3500,-,,
Cuba,11338138,North America,,
Cyprus,1189265,Europe,,
Czechia,10625695,Europe,,Czech Republic
Faroe Islands,48497,Europe,,
Greenland,56025,Europe,,
Denmark,5797446,Europe,,
Djibouti,958920,Africa,,
Dominican Republic,10627165,North America,,
Ecuador,17084357,South America,,
Egypt,98423595,Africa,Under reporting due to political pressure,
El Salvador,6420744,North America,,
Equatorial Guinea,1308974,Africa,,
Eritrea,3214000,Africa,,
Estonia,1320884,Europe,,
Eswatini,1136191,Africa,,
Ethiopia,109224559,Africa,,
Fiji,883483,Oceania,,
Finland,5518050,Europe,,
French Guiana,290700,South America,,
French Polynesia,277679,Oceania,,
Guadeloupe,400124,North America,,
Mayotte,272815,Africa,,
New Caledonia,284060,Oceania,,
Reunion,895312,Asia,,
Saint Barthelemy,9877,North America,,
St Martin,38666,North America,,
Martinique,375265,North America,,
France,66987244,Europe,,
Gabon,2119275,Africa,,
Gambia,2416668,Africa,,
Georgia,3731000,Europe,,
Germany,82927922,Europe,,
Ghana,29767108,Africa,,
Greece,10727668,Europe,,
Guatemala,17247807,North America,,
Guinea,12414318,Africa,,
Guyana,779004,South America,,
Haiti,11123176,North America,,
Holy See,801,-,,Vatican City
Honduras,9587522,North America,,
Hungary,9768785,Europe,,
Iceland,353574,Europe,,
India,1352617328,Asia,,
Indonesia,267663435,Asia,,
Iran,81800269,Asia,Under reporting due to political pressure,
Iraq,38433600,Asia,,
Ireland,4853506,Europe,,
Israel,8883800,Asia,,
Italy,60431283,Europe,,
Jamaica,2934855,North America,,
Japan,126529100,Asia,,
Jordan,9956011,Asia,,
Kazakhstan,18276499,Asia,,
Kenya,51393010,Africa,,
Kuwait,4137309,Asia,,
Kyrgyzstan,6524195,Asia,,
Latvia,1926542,Europe,,
Lebanon,6848925,Asia,,
Liberia,4818977,Africa,,
Liechtenstein,37910,Europe,,
Lithuania,2789533,Europe,,
Luxembourg,607728,Europe,,
Madagascar,26262368,Africa,,
Malaysia,31528585,Asia,,
Maldives,515696,Africa,,
Malta,483530,Europe,,
Mauritania,4403319,Africa,,
Mauritius,1265303,Africa,,
Mexico,126190788,North America,,
Moldova,3545883,Europe,,
Monaco,38682,Europe,,
Mongolia,3170208,Asia,,
Montenegro,622345,Europe,,
Morocco,36029138,Africa,,
Namibia,2448255,Africa,,
Nepal,28087871,Asia,,
Aruba,105845,South America,,
Curacao,159849,South America,,
Sint Maarten,42876,South America,,
Netherlands,17231017,Europe,,The Netherlands;Holland
New Zealand,4885500,Oceania,,
Nicaragua,6465513,North America,,
Niger,22442948,Africa,,
Nigeria,195874740,Africa,,
North Macedonia,2082958,Europe,,
Norway,5314336,Europe,,
Oman,4829483,Asia,,
Pakistan,212215030,Asia,,
Panama,4176873,North America,,
Papua New Guinea,8606316,Oceania,,
Paraguay,6956071,South America,,
Peru,31989256,South America,,
Philippines,106651922,Asia,,
Poland,37978548,Europe,,
Portugal,10281762,Europe,,
Qatar,2781677,Asia,,
Romania,19473936,Europe,,
Russia,144478050,Europe,,
Rwanda,12301939,Africa,,
Saint Lucia,183627,North America,,
Saint Vincent and the Grenadines,110940,North America,,
San Marino,33785,Europe,,
Saudi Arabia,33699947,Asia,,
Senegal,15854360,Africa,,
Serbia,6982084,Europe,,
Seychelles,96762,Africa,,
Singapore,5638676,Asia,,
Slovakia,5459642,Europe,,
Slovenia,2067372,Europe,,
Somalia,15008154,Africa,,
South Africa,57779622,Africa,,
Spain,46723749,Europe,End of May they corrected fatalities downward,Espana
Sri Lanka,21670000,Asia,,
Sudan,41801533,Africa,,
Suriname,575991,South America,,
Sweden,10183175,Europe,,Svirge
Switzerland,8516543,Europe,,
Taiwan,23780000,Asia,,
Tanzania,56318348,Africa,,
Thailand,69428524,Asia,,
Togo,7889094,Africa,,
Trinidad and Tobago,1389858,North America,,
Tunisia,11565204,Africa,,
Turkey,82319724,Europe,,
Uganda,42723139,Africa,,
Ukraine,44622516,Europe,,
United Arab Emirates,9630959,Asia,,UAE